,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,19.0,11.0,11.0,11.0,11.0
2,19565.0,19763.0,19763.0,34256.0,34256.0
3,15.0,36.0,35.0,35.0,35.0
4,0.0,1.0,2.0,1.0,1.0
5,0.0,0.0,0.0,1.0,2.0
6,0.0,3209.0,1448.0,2737.0,2936.0
7,0.0,0.0,0.0,0.0,0.0
8,8.0,33.0,31.0,32.0,37.0
9,3.0,12.0,15.0,12.0,13.0
10,556.0,3209.0,2895.0,2737.0,2936.0
11,40.0,100.0,94.0,97.0,97.0
12,25.0,0.0,2.0,1.0,2.0
13,39.0,95.0,92.0,92.0,92.0
14,1.0,4.0,5.0,5.0,5.0
15,0.0,0.0,0.0,0.0,0.0
16,80.0,39.0,40.0,26.0,20.0
17,0.0,39.0,31.0,23.0,37.0
18,20.0,22.0,29.0,51.0,43.0
