,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.5,27.0,8.0,6.0,13.0
2,4538.0,5173.0,5192.0,11154.0,11154.0
3,1.0,2.0,22.0,20.0,33.0
4,0.0,0.0,3.0,4.0,8.0
5,0.0,0.0,1.0,3.0,4.0
6,0.0,0.0,509.0,304.0,355.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,12.0,17.0,41.0
9,1.0,0.0,14.0,7.0,4.0
10,6.0,29.0,1526.0,1215.0,2837.0
11,0.0,0.0,86.0,60.0,100.0
12,5.0,16.0,3.0,8.0,1.0
13,3.0,12.0,100.0,59.0,97.0
14,0.0,0.0,3.0,4.0,4.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,100.0,73.0,60.0,55.0
17,100.0,0.0,5.0,25.0,18.0
18,0.0,0.0,23.0,15.0,27.0
