,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.0,10.0,10.0,19.0,12.0
2,11677.0,14361.0,14328.0,46773.0,46773.0
3,31.0,30.0,24.0,30.0,31.0
4,4.0,1.0,2.0,1.0,1.0
5,4.0,6.0,1.0,2.0,3.0
6,572.0,2573.0,1007.0,2329.0,2110.0
7,0.0,0.0,0.0,0.0,0.0
8,17.0,26.0,27.0,28.0,13.0
9,16.0,9.0,7.0,11.0,15.0
10,2288.0,2573.0,2014.0,2329.0,2110.0
11,87.0,100.0,96.0,87.0,84.0
12,4.0,0.0,1.0,5.0,6.0
13,91.0,88.0,71.0,79.0,82.0
14,7.0,10.0,9.0,5.0,11.0
15,0.0,1.0,0.0,0.0,0.0
16,71.0,73.0,42.0,60.0,48.0
17,16.0,10.0,21.0,17.0,42.0
18,13.0,17.0,38.0,23.0,10.0
