,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,9.0,10.0,10.0,10.0,10.0,10.0
2,560.0,708.0,20076.0,22233.0,71641.0,71641.0
3,29.0,29.0,7.0,34.0,37.0,34.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,1.0
8,23.0,18.0,13.0,29.0,40.0,31.0
9,13.0,15.0,0.0,12.0,9.0,12.0
10,2610.0,2610.0,630.0,2991.0,3330.0,3060.0
11,100.0,100.0,100.0,100.0,100.0,100.0
12,0.0,0.0,31.0,1.0,1.0,0.0
13,76.0,76.0,18.0,52.0,370.0,89.0
14,3.0,5.0,2.0,2.0,1.0,3.0
15,0.0,0.0,0.0,1.0,0.0,0.0
16,45.0,62.0,14.0,38.0,30.0,38.0
17,34.0,28.0,57.0,26.0,35.0,32.0
18,21.0,10.0,29.0,35.0,35.0,29.0
