,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,21.0,26.0,10.0,23.0,15.0
2,5000.0,5000.0,20000.0,20000.0,20000.0
3,2.0,2.0,29.0,14.0,29.0
4,0.0,0.0,1.0,8.0,2.0
5,0.0,0.0,1.0,0.0,0.0
6,0.0,0.0,857.0,122.0,1020.0
7,0.0,0.0,0.0,0.0,0.0
8,2.0,1.0,16.0,15.0,36.0
9,0.0,0.0,8.0,3.0,6.0
10,82.0,64.0,857.0,978.0,2040.0
11,50.0,50.0,28.0,79.0,83.0
12,4.0,5.0,27.0,4.0,7.0
13,5.0,5.0,76.0,82.0,76.0
14,0.0,0.0,2.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,100.0,34.0,36.0,34.0
17,0.0,0.0,31.0,36.0,24.0
18,100.0,0.0,34.0,29.0,41.0
