,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.0,19.0,22.0,12.0,18.0
2,2553.0,25000.0,25000.0,21081.0,25000.0
3,6.0,16.0,4.0,21.0,24.0
4,0.0,0.0,0.0,1.0,0.0
5,1.0,2.0,0.0,1.0,0.0
6,0.0,0.0,0.0,1087.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,3.0,18.0,1.0,13.0,29.0
9,2.0,2.0,2.0,10.0,6.0
10,410.0,996.0,66.0,1087.0,1802.0
11,67.0,75.0,25.0,48.0,79.0
12,3.0,10.0,7.0,25.0,18.0
13,23.0,42.0,11.0,58.0,63.0
14,0.0,3.0,0.0,4.0,4.0
15,0.0,0.0,0.0,0.0,0.0
16,83.0,50.0,25.0,67.0,46.0
17,0.0,19.0,25.0,10.0,25.0
18,17.0,31.0,50.0,24.0,29.0
