,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,6.0,3.625,3.625,3.0,3.625
2,3986.0,8498.0,9486.0,24704.0,16963.0,16963.0
3,3.0,28.0,35.0,26.0,38.0,37.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,36.0,29.0,36.0,53.0,35.0
9,2.0,7.0,16.0,4.0,9.0,14.0
10,215.0,2520.0,3150.0,2340.0,3420.0,3330.0
11,67.0,100.0,100.0,100.0,100.0,100.0
12,26.0,10.0,3.0,0.0,0.0,0.0
13,8.0,74.0,92.0,93.0,100.0,97.0
14,0.0,3.0,1.0,0.0,3.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,43.0,43.0,35.0,39.0,54.0
17,100.0,29.0,29.0,31.0,18.0,19.0
18,0.0,29.0,29.0,35.0,42.0,27.0
