,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.5,8.0,19.0,10.0,9.0
2,13439.0,13571.0,31621.0,31621.0,31621.0
3,5.0,29.0,26.0,33.0,37.0
4,0.0,4.0,1.0,2.0,3.0
5,0.0,0.0,1.0,1.0,5.0
6,0.0,401.0,1159.0,370.0,540.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,22.0,16.0,10.0,15.0
9,2.0,5.0,4.0,13.0,16.0
10,43.0,1602.0,1159.0,739.0,1621.0
11,0.0,59.0,46.0,9.0,32.0
12,8.0,15.0,25.0,33.0,25.0
13,29.0,85.0,68.0,87.0,97.0
14,0.0,4.0,7.0,2.0,2.0
15,0.0,0.0,0.0,0.0,0.0
16,60.0,28.0,62.0,61.0,65.0
17,40.0,38.0,19.0,12.0,19.0
18,0.0,34.0,19.0,27.0,16.0
