,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,13.3,13.3,13.857,15.0,25.0,9.0,18.0
2,1136.0,4381.0,4381.0,45257.0,45751.0,45784.0,45784.0
3,1.0,18.0,30.0,19.0,24.0,28.0,18.0
4,0.0,2.0,0.0,5.0,4.0,3.0,2.0
5,0.0,1.0,0.0,0.0,2.0,2.0,2.0
6,0.0,788.0,0.0,217.0,450.0,411.0,323.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,23.0,17.0,9.0,23.0,13.0,10.0
9,0.0,4.0,14.0,10.0,8.0,11.0,7.0
10,81.0,1575.0,1986.0,1087.0,1798.0,1234.0,645.0
11,100.0,100.0,77.0,68.0,88.0,50.0,33.0
12,10.0,0.0,11.0,25.0,7.0,22.0,29.0
13,6.0,95.0,79.0,50.0,63.0,74.0,47.0
14,0.0,2.0,8.0,4.0,4.0,2.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,100.0,50.0,50.0,74.0,67.0,79.0,78.0
17,0.0,11.0,37.0,5.0,25.0,18.0,6.0
18,0.0,39.0,13.0,21.0,8.0,4.0,17.0
