,2019-2020,2020-2021,2021-2022
1,17,19,19
2,9882,30303,30303
3,4,29,19
4,0,1,0
5,0,1,1
6,0,2141,0
7,0,0,0
8,6,31,11
9,1,7,7
10,259,2141,1418
11,75,86,95
12,22,10,2
13,11,76,50
14,0,5,5
15,0,1,0
16,25,28,26
17,25,31,42
18,50,41,32
