,2014-2015,2015-2016,2016-2017,2018-2019,2019-2020,2020-2021,2021-2022
1,29.0,18.0,33.0,21.0,1.0,1.0,1.0
2,181.0,165.0,7296.0,16782.0,24374.0,24374.0,24374.0
3,23.0,21.0,1.0,36.0,36.0,37.0,29.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,28.0,15.0,1.0,51.0,60.0,54.0,48.0
9,5.0,10.0,0.0,11.0,9.0,6.0,5.0
10,2070.0,1920.0,90.0,3240.0,3240.0,3330.0,2560.0
11,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12,0.0,0.0,37.0,2.0,2.0,1.0,7.0
13,85.0,72.0,3.0,95.0,95.0,97.0,76.0
14,0.0,1.0,0.0,4.0,1.0,0.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,61.0,86.0,100.0,39.0,33.0,38.0,28.0
17,9.0,10.0,0.0,19.0,14.0,19.0,17.0
18,30.0,5.0,0.0,42.0,53.0,43.0,55.0
