,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,14.0,17.0,11.0,11.0,11.0
2,56555.0,58532.0,59092.0,115284.0,113638.0,113638.0
3,32.0,30.0,29.0,32.0,33.0,34.0
4,9.0,18.0,9.0,7.0,5.0,6.0
5,4.0,7.0,7.0,4.0,5.0,8.0
6,245.0,138.0,221.0,377.0,525.0,466.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,32.0,36.0,24.0,49.0,37.0,32.0
9,10.0,9.0,6.0,4.0,11.0,11.0
10,2208.0,2475.0,1988.0,2639.0,2625.0,2795.0
11,88.0,93.0,83.0,97.0,100.0,97.0
12,4.0,3.0,5.0,1.0,0.0,2.0
13,86.0,79.0,76.0,84.0,87.0,89.0
14,5.0,8.0,5.0,8.0,5.0,7.0
15,1.0,0.0,0.0,2.0,1.0,1.0
16,59.0,57.0,48.0,22.0,45.0,50.0
17,9.0,23.0,31.0,28.0,27.0,21.0
18,31.0,20.0,21.0,50.0,27.0,29.0
