,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,9.833,9.833,6.0,15.0,20.0
2,32938.0,32938.0,34585.0,34585.0,63406.0
3,30.0,31.0,23.0,25.0,9.0
4,2.0,4.0,2.0,1.0,1.0
5,2.0,0.0,2.0,1.0,1.0
6,1148.0,490.0,974.0,1417.0,598.0
7,0.0,0.0,0.0,0.0,0.0
8,40.0,26.0,25.0,26.0,7.0
9,6.0,11.0,5.0,5.0,1.0
10,2296.0,1960.0,1947.0,1417.0,598.0
11,97.0,68.0,96.0,60.0,67.0
12,1.0,11.0,1.0,11.0,4.0
13,88.0,91.0,68.0,74.0,60.0
14,11.0,7.0,7.0,5.0,1.0
15,0.0,0.0,0.0,0.0,0.0
16,37.0,48.0,61.0,40.0,56.0
17,20.0,19.0,17.0,28.0,22.0
18,43.0,32.0,22.0,32.0,22.0
