,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,20.0,19.0,19.0,16.0,15.0,5.0
2,15942.0,37006.0,39394.0,70000.0,70000.0,70000.0
3,4.0,33.0,32.0,28.0,18.0,16.0
4,0.0,4.0,9.0,0.0,1.0,1.0
5,2.0,4.0,4.0,2.0,1.0,1.0
6,0.0,445.0,266.0,0.0,945.0,992.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,17.0,39.0,18.0,9.0,10.0
9,3.0,15.0,7.0,6.0,8.0,5.0
10,81.0,1781.0,2397.0,1494.0,945.0,992.0
11,25.0,55.0,84.0,54.0,61.0,69.0
12,10.0,19.0,6.0,17.0,9.0,5.0
13,21.0,87.0,89.0,74.0,47.0,100.0
14,1.0,2.0,5.0,6.0,5.0,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,75.0,79.0,34.0,36.0,56.0,50.0
17,25.0,12.0,22.0,36.0,22.0,19.0
18,0.0,9.0,44.0,29.0,22.0,31.0
