,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,18.0,18.0,22.0,18.0
2,21212.0,32823.0,52701.0,52701.0,350000.0
3,12.0,34.0,32.0,26.0,29.0
4,1.0,12.0,17.0,8.0,3.0
5,4.0,15.0,17.0,11.0,3.0
6,690.0,206.0,135.0,258.0,634.0
7,0.0,0.0,0.0,0.0,0.0
8,10.0,36.0,31.0,29.0,28.0
9,3.0,10.0,13.0,9.0,5.0
10,690.0,2467.0,2288.0,2067.0,1901.0
11,58.0,76.0,78.0,92.0,69.0
12,7.0,8.0,8.0,3.0,12.0
13,46.0,100.0,94.0,76.0,76.0
14,0.0,2.0,2.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,25.0,68.0,59.0,58.0,41.0
17,42.0,21.0,19.0,12.0,31.0
18,33.0,12.0,22.0,31.0,28.0
