,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,11,18,16.333,19,31,24,19
2,3047,3689,3821,82346,81029,81029,81029
3,1,16,28,27,7,24,27
4,0,1,2,1,1,0,2
5,0,1,0,2,0,0,0
6,0,1077,1160,1903,480,0,756
7,0,0,0,0,0,0,0
8,0,16,28,23,7,14,17
9,1,4,10,11,3,11,11
10,1,1077,2319,1903,480,1617,1512
11,0,75,96,70,71,67,59
12,6,10,5,12,5,10,19
13,3,47,82,73,26,63,71
14,0,4,4,4,0,3,0
15,0,1,0,0,0,0,0
16,100,31,54,74,100,67,81
17,0,38,25,11,0,8,11
18,0,31,21,15,0,25,7
