,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,29.0,19.0,14.0,19.0,13.857,21.0,25.0,35.0,27.0
2,1614.0,1416.0,11726.0,14147.0,60360.0,91503.0,80000.0,80000.0,250000.0
3,1.0,10.0,28.0,35.0,26.0,25.0,17.0,28.0,36.0
4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0
5,0.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,7.0
6,0.0,0.0,2117.0,2437.0,1850.0,1968.0,0.0,1150.0,3227.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,5.0,31.0,50.0,16.0,16.0,11.0,18.0,25.0
9,0.0,3.0,6.0,6.0,10.0,10.0,8.0,15.0,19.0
10,64.0,517.0,2117.0,2437.0,1850.0,1968.0,1208.0,2299.0,3227.0
11,100.0,50.0,89.0,77.0,77.0,88.0,76.0,96.0,100.0
12,0.0,26.0,4.0,8.0,12.0,10.0,21.0,7.0,1.0
13,7.0,26.0,74.0,92.0,68.0,66.0,45.0,74.0,95.0
14,0.0,2.0,7.0,6.0,4.0,6.0,4.0,5.0,7.0
15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16,0.0,60.0,32.0,34.0,46.0,68.0,71.0,68.0,75.0
17,0.0,20.0,25.0,17.0,35.0,20.0,6.0,14.0,17.0
18,100.0,20.0,43.0,49.0,19.0,12.0,24.0,18.0,8.0
