,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,16.0,6.0,18.0,6.0,11.0,10.0,11.0,11.0,11.0
2,24671.0,21690.0,9684.0,9634.0,22480.0,24490.0,25198.0,31456.0,31456.0
3,4.0,28.0,25.0,27.0,29.0,31.0,28.0,24.0,28.0
4,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0
5,0.0,0.0,9.0,8.0,8.0,4.0,3.0,0.0,1.0
6,0.0,2346.0,2186.0,1131.0,1132.0,0.0,0.0,1318.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5.0,25.0,25.0,19.0,42.0,40.0,29.0,19.0,15.0
9,1.0,12.0,7.0,11.0,9.0,9.0,5.0,10.0,8.0
10,268.0,2346.0,2186.0,2262.0,2264.0,2335.0,2098.0,1318.0,1395.0
11,75.0,96.0,100.0,100.0,86.0,87.0,89.0,71.0,61.0
12,1.0,1.0,1.0,3.0,4.0,4.0,6.0,8.0,18.0
13,25.0,90.0,74.0,79.0,76.0,82.0,74.0,63.0,74.0
14,2.0,1.0,4.0,2.0,7.0,8.0,8.0,4.0,4.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,50.0,86.0,72.0,67.0,52.0,35.0,36.0,54.0,54.0
17,25.0,4.0,24.0,26.0,14.0,19.0,25.0,25.0,18.0
18,25.0,11.0,4.0,7.0,34.0,45.0,39.0,21.0,29.0
