,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,12.0,13.857,4.0,13.857,15.0,25.0,9.0,18.0
2,1795.0,27520.0,43775.0,75445.0,76252.0,106720.0,106720.0,182973.0
3,15.0,32.0,23.0,31.0,32.0,32.0,33.0,35.0
4,1.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0
5,1.0,5.0,1.0,8.0,1.0,6.0,6.0,1.0
6,1050.0,598.0,434.0,482.0,1326.0,900.0,1291.0,1470.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15.0,27.0,23.0,15.0,29.0,29.0,26.0,26.0
9,3.0,12.0,6.0,14.0,14.0,12.0,12.0,15.0
10,1050.0,2390.0,1737.0,1928.0,2651.0,2701.0,2581.0,2939.0
11,87.0,78.0,87.0,68.0,97.0,94.0,88.0,100.0
12,4.0,12.0,10.0,13.0,1.0,3.0,5.0,0.0
13,83.0,84.0,61.0,82.0,84.0,84.0,87.0,92.0
14,7.0,7.0,7.0,9.0,11.0,9.0,6.0,7.0
15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16,47.0,53.0,48.0,52.0,47.0,63.0,70.0,71.0
17,20.0,16.0,9.0,29.0,25.0,25.0,21.0,20.0
18,33.0,31.0,43.0,19.0,28.0,13.0,9.0,9.0
