,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.5,1.5,1.5,15.0,15.0,22.0,26.0,18.0
2,10000.0,6000.0,16000.0,40000.0,90000.0,190000.0,190000.0,190000.0
3,16.0,22.0,29.0,38.0,31.0,38.0,34.0,30.0
4,1.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0
5,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0
6,1440.0,0.0,1153.0,1710.0,865.0,3420.0,1524.0,2512.0
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8,22.0,16.0,53.0,60.0,40.0,36.0,36.0,41.0
9,2.0,10.0,4.0,9.0,7.0,13.0,13.0,6.0
10,1440.0,1639.0,2306.0,3420.0,2596.0,3420.0,3047.0,2512.0
11,100.0,77.0,86.0,100.0,100.0,100.0,100.0,93.0
12,0.0,23.0,9.0,0.0,1.0,0.0,0.0,5.0
13,94.0,48.0,76.0,100.0,82.0,100.0,89.0,79.0
14,4.0,4.0,5.0,8.0,6.0,6.0,10.0,8.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16,31.0,64.0,24.0,32.0,39.0,47.0,59.0,50.0
17,13.0,14.0,17.0,29.0,13.0,32.0,29.0,17.0
18,56.0,23.0,59.0,39.0,48.0,21.0,12.0,33.0
