,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,14.0,6.0,22.0,1.5,27.0,13.0,19.0,22.0
2,2652.0,4562.0,4562.0,16123.0,16272.0,16469.0,16469.0,16469.0
3,13.0,24.0,32.0,33.0,33.0,24.0,20.0,6.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,23.0,41.0,20.0,32.0,27.0,21.0,15.0,10.0
9,1.0,3.0,15.0,12.0,15.0,8.0,9.0,0.0
10,1170.0,2160.0,2880.0,2970.0,2920.0,2160.0,1800.0,540.0
11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0
13,68.0,67.0,94.0,97.0,97.0,96.0,59.0,18.0
14,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,23.0,29.0,75.0,73.0,85.0,75.0,80.0,83.0
17,23.0,38.0,16.0,12.0,3.0,8.0,10.0,0.0
18,54.0,33.0,9.0,15.0,12.0,17.0,10.0,17.0
