,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,4,1,4,21.875,30,5,3,5
2,1614,14147,13587,60000,60000,48074,48090,21410
3,23,33,34,10,19,30,25,4
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,31,41,42,12,14,40,29,1
9,9,10,9,3,10,5,8,2
10,2070,2912,3060,900,1710,2700,2250,292
11,100,100,100,100,100,100,100,75
12,0,0,0,25,19,0,0,27
13,68,97,100,26,50,94,86,13
14,0,1,1,0,1,2,1,0
15,0,1,0,0,0,0,0,0
16,52,27,41,60,58,57,52,25
17,17,39,24,30,26,27,20,75
18,30,33,35,10,16,17,28,0
