,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,29.0,22.0,29.0,20.0,36.0,27.0,26.0
2,19598.0,23650.0,24457.0,131309.0,130107.0,130107.0,321150.0
3,23.0,27.0,29.0,34.0,33.0,27.0,28.0
4,0.0,6.0,1.0,2.0,3.0,4.0,3.0
5,2.0,1.0,11.0,11.0,8.0,10.0,12.0
6,0.0,258.0,2329.0,1530.0,939.0,549.0,825.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5.0,15.0,25.0,32.0,31.0,27.0,32.0
9,14.0,13.0,13.0,12.0,14.0,8.0,8.0
10,1428.0,1545.0,2329.0,3060.0,2818.0,2194.0,2475.0
11,65.0,56.0,90.0,100.0,97.0,93.0,100.0
12,17.0,18.0,7.0,0.0,1.0,2.0,0.0
13,68.0,79.0,85.0,100.0,97.0,79.0,82.0
14,3.0,1.0,1.0,4.0,7.0,4.0,4.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,87.0,78.0,79.0,71.0,76.0,74.0,68.0
17,13.0,19.0,7.0,18.0,12.0,11.0,18.0
18,0.0,4.0,14.0,12.0,12.0,15.0,14.0
