,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,28.0,29.0,28.0,20.0,22.0,16.0,19.0
2,19961.0,29743.0,30781.0,57445.0,57642.0,57642.0,57642.0
3,26.0,31.0,37.0,36.0,33.0,38.0,36.0
4,5.0,4.0,8.0,3.0,5.0,9.0,12.0
5,3.0,8.0,4.0,2.0,7.0,8.0,5.0
6,192.0,307.0,282.0,640.0,412.0,266.0,155.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5.0,13.0,9.0,22.0,20.0,14.0,21.0
9,16.0,15.0,23.0,18.0,14.0,18.0,12.0
10,959.0,1229.0,2256.0,1921.0,2061.0,2392.0,1854.0
11,31.0,32.0,73.0,56.0,67.0,76.0,58.0
12,28.0,27.0,10.0,17.0,12.0,9.0,15.0
13,52.0,82.0,97.0,95.0,87.0,100.0,95.0
14,5.0,6.0,4.0,6.0,5.0,3.0,3.0
15,0.0,0.0,1.0,1.0,0.0,0.0,1.0
16,73.0,58.0,62.0,56.0,45.0,68.0,56.0
17,15.0,23.0,27.0,28.0,42.0,21.0,22.0
18,12.0,19.0,11.0,17.0,12.0,11.0,22.0
