,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,13.3,11.0,15.0,25.0,9.0,18.0
2,856.0,7543.0,12204.0,9223.0,85311.0,85475.0
3,3.0,4.0,24.0,25.0,33.0,31.0
4,0.0,0.0,1.0,2.0,0.0,1.0
5,0.0,0.0,0.0,0.0,3.0,2.0
6,0.0,0.0,1689.0,961.0,0.0,2312.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,1.0,31.0,23.0,26.0,18.0
9,1.0,1.0,7.0,7.0,14.0,14.0
10,155.0,91.0,1689.0,1921.0,2922.0,2312.0
11,33.0,0.0,75.0,84.0,100.0,94.0
12,19.0,21.0,15.0,15.0,3.0,3.0
13,8.0,11.0,63.0,66.0,87.0,82.0
14,0.0,0.0,2.0,8.0,6.0,4.0
15,0.0,0.0,0.0,1.0,0.0,0.0
16,33.0,75.0,29.0,56.0,76.0,71.0
17,33.0,0.0,33.0,32.0,18.0,23.0
18,33.0,25.0,38.0,12.0,6.0,6.0
