,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,7.667,7.667,7.667,4.0,7.0,18.0,10.0,14.0
2,2833.0,2717.0,3277.0,24391.0,24621.0,49408.0,52701.0,52701.0
3,7.0,25.0,33.0,28.0,13.0,30.0,29.0,13.0
4,0.0,4.0,2.0,2.0,3.0,1.0,2.0,0.0
5,0.0,4.0,4.0,4.0,1.0,2.0,7.0,1.0
6,0.0,365.0,934.0,872.0,251.0,1856.0,945.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,23.0,21.0,31.0,8.0,25.0,24.0,10.0
9,0.0,5.0,12.0,8.0,3.0,9.0,8.0,6.0
10,329.0,1460.0,1868.0,1743.0,754.0,1856.0,1890.0,683.0
11,57.0,64.0,61.0,68.0,77.0,73.0,69.0,69.0
12,9.0,9.0,14.0,12.0,7.0,12.0,9.0,4.0
13,21.0,74.0,97.0,82.0,38.0,88.0,85.0,87.0
14,0.0,4.0,2.0,4.0,1.0,3.0,5.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,29.0,32.0,48.0,46.0,54.0,50.0,45.0,23.0
17,0.0,28.0,39.0,25.0,23.0,20.0,28.0,31.0
18,71.0,40.0,12.0,29.0,23.0,30.0,28.0,46.0
