,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,19.0,5.0,4.8,4.8,4.8
2,1466.0,4117.0,15810.0,13669.0,13669.0
3,1.0,7.0,21.0,35.0,36.0
4,0.0,0.0,3.0,2.0,1.0
5,0.0,0.0,3.0,5.0,7.0
6,0.0,0.0,340.0,1210.0,2250.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,2.0,11.0,47.0,59.0
9,1.0,1.0,4.0,12.0,1.0
10,8.0,215.0,1020.0,2419.0,2250.0
11,0.0,29.0,52.0,71.0,69.0
12,1.0,8.0,11.0,10.0,12.0
13,3.0,41.0,75.0,92.0,95.0
14,0.0,1.0,3.0,6.0,4.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,14.0,33.0,34.0,14.0
17,100.0,14.0,33.0,14.0,33.0
18,0.0,71.0,33.0,51.0,53.0
