,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,21.875,10.0,26.0,18.0,22.0,25.0,25.0,35.0,27.0
2,25000.0,35000.0,150000.0,150000.0,150000.0,150000.0,300000.0,300000.0,300000.0
3,33.0,35.0,31.0,33.0,33.0,34.0,33.0,31.0,30.0
4,9.0,7.0,6.0,7.0,18.0,17.0,20.0,10.0,13.0
5,5.0,7.0,2.0,6.0,11.0,9.0,1.0,7.0,5.0
6,247.0,435.0,320.0,358.0,144.0,163.0,133.0,254.0,164.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,31.0,39.0,30.0,27.0,23.0,19.0,31.0,23.0,17.0
9,8.0,13.0,11.0,10.0,14.0,18.0,13.0,16.0,16.0
10,2219.0,3047.0,1920.0,2508.0,2587.0,2773.0,2651.0,2538.0,2128.0
11,73.0,97.0,74.0,88.0,88.0,91.0,91.0,90.0,77.0
12,9.0,2.0,11.0,6.0,5.0,7.0,6.0,8.0,14.0
13,87.0,92.0,82.0,87.0,87.0,89.0,87.0,82.0,79.0
14,2.0,5.0,1.0,7.0,4.0,3.0,5.0,4.0,1.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,70.0,46.0,42.0,64.0,82.0,82.0,64.0,68.0,77.0
17,15.0,23.0,26.0,21.0,12.0,6.0,9.0,16.0,13.0
18,15.0,31.0,32.0,15.0,6.0,12.0,27.0,16.0,10.0
