,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,21.0,26.0,10.0,23.0,18.889
2,4000.0,4000.0,15000.0,45000.0,45000.0
3,3.0,5.0,13.0,17.0,21.0
4,0.0,1.0,2.0,2.0,5.0
5,0.0,0.0,0.0,1.0,1.0
6,0.0,66.0,317.0,211.0,167.0
7,0.0,0.0,0.0,0.0,0.0
8,1.0,3.0,8.0,6.0,18.0
9,0.0,1.0,6.0,5.0,5.0
10,20.0,66.0,633.0,422.0,836.0
11,0.0,0.0,54.0,24.0,38.0
12,11.0,19.0,7.0,24.0,17.0
13,9.0,13.0,76.0,45.0,55.0
14,0.0,0.0,0.0,0.0,3.0
15,0.0,0.0,1.0,0.0,0.0
16,0.0,60.0,54.0,29.0,57.0
17,0.0,0.0,23.0,24.0,5.0
18,100.0,40.0,23.0,47.0,38.0
