,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,6.0,3.625,3.625,23.0,25.0
2,7444.0,7708.0,7790.0,9882.0,33762.0,120000.0
3,27.0,21.0,35.0,19.0,8.0,8.0
4,1.0,0.0,1.0,1.0,0.0,0.0
5,1.0,0.0,1.0,0.0,0.0,0.0
6,2208.0,0.0,2994.0,1454.0,0.0,0.0
7,0.0,0.0,1.0,0.0,0.0,0.0
8,21.0,18.0,29.0,18.0,9.0,7.0
9,10.0,6.0,15.0,4.0,3.0,4.0
10,2208.0,1323.0,2994.0,1454.0,567.0,546.0
11,93.0,62.0,97.0,84.0,63.0,75.0
12,8.0,19.0,3.0,7.0,9.0,23.0
13,71.0,55.0,92.0,68.0,26.0,21.0
14,4.0,1.0,1.0,2.0,0.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,59.0,38.0,40.0,47.0,75.0,63.0
17,30.0,24.0,31.0,21.0,25.0,13.0
18,11.0,38.0,29.0,32.0,0.0,25.0
