,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,9.0,10.0,10.0,10.0,10.0,10.0
2,10063.0,16716.0,16288.0,9882.0,9882.0,9882.0
3,17.0,12.0,26.0,20.0,30.0,32.0
4,1.0,1.0,1.0,0.0,0.0,2.0
5,1.0,1.0,1.0,1.0,1.0,0.0
6,1410.0,806.0,2070.0,0.0,0.0,679.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,25.0,15.0,22.0,16.0,24.0,16.0
9,4.0,2.0,9.0,5.0,7.0,11.0
10,1410.0,806.0,2070.0,1270.0,1724.0,1358.0
11,94.0,92.0,88.0,65.0,67.0,53.0
12,1.0,15.0,11.0,12.0,17.0,20.0
13,89.0,32.0,68.0,30.0,300.0,84.0
14,6.0,6.0,3.0,3.0,7.0,5.0
15,0.0,0.0,0.0,0.0,0.0,2.0
16,24.0,25.0,38.0,30.0,30.0,41.0
17,35.0,17.0,31.0,30.0,33.0,31.0
18,41.0,58.0,31.0,40.0,37.0,28.0
