,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,18.0,17.0,26.0,21.0,26.0,11.0,24.0,23.0
2,61924.0,54464.0,52339.0,180000.0,200000.0,200000.0,63406.0,73947.0,73947.0
3,31.0,28.0,31.0,24.0,11.0,25.0,22.0,34.0,31.0
4,9.0,3.0,11.0,4.0,2.0,6.0,9.0,13.0,5.0
5,9.0,5.0,16.0,1.0,4.0,4.0,5.0,10.0,5.0
6,271.0,641.0,234.0,337.0,397.0,274.0,170.0,211.0,500.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,29.0,24.0,30.0,8.0,13.0,26.0,24.0,46.0,28.0
9,10.0,10.0,12.0,12.0,4.0,4.0,3.0,11.0,13.0
10,2436.0,1922.0,2574.0,1348.0,794.0,1641.0,1531.0,2744.0,2498.0
11,94.0,75.0,90.0,63.0,82.0,76.0,73.0,88.0,94.0
12,2.0,8.0,3.0,11.0,2.0,9.0,8.0,4.0,3.0
13,91.0,82.0,91.0,63.0,79.0,66.0,61.0,89.0,82.0
14,5.0,4.0,5.0,1.0,0.0,1.0,4.0,2.0,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,68.0,43.0,71.0,46.0,45.0,56.0,59.0,50.0,55.0
17,13.0,18.0,16.0,42.0,0.0,20.0,9.0,21.0,16.0
18,19.0,39.0,13.0,13.0,55.0,24.0,32.0,29.0,29.0
