,2013-2014,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,16.0,7.0,7.0,7.0,7.0,7.0,10.0,10.0
2,807.0,3129.0,6275.0,19500.0,19697.0,19763.0,32774.0,32774.0
3,2.0,26.0,25.0,33.0,30.0,31.0,31.0,25.0
4,0.0,0.0,1.0,2.0,4.0,8.0,5.0,1.0
5,0.0,1.0,2.0,10.0,2.0,6.0,8.0,3.0
6,0.0,0.0,1813.0,1480.0,642.0,339.0,518.0,1794.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0.0,30.0,28.0,44.0,50.0,50.0,30.0,33.0
9,2.0,10.0,7.0,9.0,4.0,7.0,9.0,5.0
10,3.0,2106.0,1813.0,2959.0,2569.0,2708.0,2589.0,1794.0
11,0.0,88.0,80.0,100.0,100.0,100.0,94.0,84.0
12,2.0,7.0,11.0,0.0,1.0,1.0,3.0,8.0
13,25.0,76.0,74.0,97.0,88.0,91.0,91.0,74.0
14,0.0,3.0,4.0,6.0,1.0,4.0,2.0,4.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,50.0,31.0,24.0,30.0,20.0,29.0,58.0,80.0
17,50.0,31.0,28.0,33.0,27.0,29.0,29.0,8.0
18,0.0,38.0,48.0,36.0,53.0,42.0,13.0,12.0
