,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,4.0,4.8,1.0,11.0,11.0,11.0,11.0
2,6176.0,7691.0,10721.0,13851.0,14822.0,25198.0,25198.0
3,5.0,4.0,27.0,33.0,35.0,34.0,31.0
4,0.0,0.0,1.0,1.0,1.0,3.0,0.0
5,0.0,1.0,2.0,2.0,1.0,1.0,5.0
6,0.0,0.0,2123.0,2678.0,3070.0,995.0,0.0
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,8.0,2.0,25.0,25.0,33.0,35.0,27.0
9,0.0,3.0,8.0,11.0,14.0,13.0,14.0
10,153.0,43.0,2123.0,2678.0,3070.0,2985.0,2663.0
11,40.0,0.0,96.0,97.0,97.0,97.0,100.0
12,6.0,18.0,1.0,3.0,1.0,3.0,0.0
13,31.0,11.0,71.0,87.0,92.0,89.0,82.0
14,1.0,0.0,9.0,8.0,10.0,11.0,13.0
15,0.0,0.0,1.0,0.0,1.0,0.0,0.0
16,0.0,75.0,33.0,36.0,34.0,26.0,26.0
17,20.0,0.0,30.0,39.0,34.0,29.0,45.0
18,80.0,25.0,37.0,24.0,31.0,44.0,29.0
