,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,1.0,1.5,7.833,7.833,7.833,7.833,21.0
2,35000.0,35000.0,35000.0,70000.0,70000.0,70000.0,70000.0
3,26.0,35.0,27.0,10.0,24.0,17.0,30.0
4,6.0,8.0,5.0,1.0,0.0,1.0,5.0
5,2.0,2.0,6.0,1.0,2.0,1.0,3.0
6,318.0,339.0,408.0,686.0,0.0,565.0,357.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,30.0,53.0,44.0,12.0,30.0,5.0,29.0
9,6.0,9.0,6.0,2.0,3.0,6.0,7.0
10,1910.0,2708.0,2042.0,686.0,1317.0,565.0,1786.0
11,88.0,89.0,85.0,80.0,58.0,29.0,63.0
12,5.0,4.0,4.0,2.0,18.0,27.0,17.0
13,68.0,92.0,71.0,26.0,63.0,45.0,79.0
14,3.0,8.0,4.0,2.0,1.0,1.0,2.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,50.0,29.0,26.0,50.0,17.0,41.0,37.0
17,31.0,26.0,33.0,0.0,33.0,24.0,20.0
18,19.0,46.0,41.0,50.0,50.0,35.0,43.0
