,2014-2015,2015-2016,2016-2017,2019-2020,2020-2021,2021-2022
1,1.5,2.75,2.75,2.75,2.75,10.0
2,214.0,1054.0,955.0,1482.0,3459.0,7246.0
3,4.0,12.0,0.0,25.0,34.0,26.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,0.0,0.0,1.0,0.0
8,6.0,31.0,0.0,42.0,50.0,32.0
9,0.0,2.0,0.0,5.0,6.0,7.0
10,360.0,1050.0,0.0,2177.0,3060.0,2340.0
11,100.0,92.0,0.0,100.0,100.0,100.0
12,2.0,15.0,30.0,0.0,0.0,8.0
13,24.0,35.0,0.0,96.0,100.0,76.0
14,0.0,1.0,0.0,0.0,3.0,0.0
15,0.0,0.0,0.0,1.0,0.0,0.0
16,25.0,25.0,0.0,24.0,29.0,77.0
17,25.0,17.0,0.0,24.0,32.0,8.0
18,50.0,58.0,0.0,52.0,38.0,15.0
