,2018-2019,2019-2020,2020-2021,2021-2022
1,18.0,18.0,9.0,19.0
2,24621.0,24704.0,105568.0,239627.0
3,21.0,33.0,37.0,32.0
4,2.0,5.0,7.0,4.0
5,4.0,10.0,8.0,6.0
6,834.0,543.0,369.0,620.0
7,0.0,0.0,0.0,0.0
8,23.0,34.0,26.0,25.0
9,6.0,14.0,13.0,11.0
10,1667.0,2716.0,2584.0,2479.0
11,90.0,88.0,78.0,88.0
12,8.0,4.0,8.0,4.0
13,62.0,97.0,97.0,84.0
14,4.0,5.0,6.0,3.0
15,0.0,0.0,0.0,1.0
16,81.0,61.0,73.0,69.0
17,14.0,18.0,19.0,22.0
18,5.0,21.0,8.0,9.0
