,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,9.833,9.0,14.0,12.0,9.833,9.833,6.0,15.0,9.83
2,12072.0,40811.0,39213.0,47283.0,48946.0,49408.0,51384.0,57642.0,57642.0
3,33.0,30.0,28.0,24.0,27.0,18.0,21.0,28.0,18.0
4,4.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
5,1.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0
6,663.0,1254.0,0.0,0.0,718.0,568.0,0.0,0.0,0.0
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,37.0,20.0,27.0,29.0,32.0,21.0,15.0,37.0,17.0
9,9.0,14.0,12.0,7.0,6.0,6.0,4.0,6.0,3.0
10,2652.0,2507.0,2397.0,1961.0,2153.0,1136.0,1375.0,2034.0,749.0
11,91.0,93.0,100.0,96.0,96.0,72.0,76.0,82.0,39.0
12,3.0,3.0,2.0,1.0,1.0,14.0,17.0,8.0,17.0
13,97.0,88.0,82.0,71.0,79.0,53.0,62.0,82.0,53.0
14,8.0,6.0,3.0,6.0,5.0,6.0,4.0,5.0,1.0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,48.0,57.0,46.0,33.0,33.0,44.0,62.0,39.0,44.0
17,21.0,30.0,21.0,33.0,26.0,17.0,14.0,32.0,22.0
18,30.0,13.0,32.0,33.0,41.0,39.0,24.0,29.0,33.0
