,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,13.5,13.5,13.5,13.5,13.5
2,7757.0,18297.0,24374.0,24374.0,76252.0
3,16.0,34.0,37.0,34.0,34.0
4,0.0,3.0,5.0,3.0,1.0
5,0.0,0.0,0.0,1.0,0.0
6,0.0,1003.0,652.0,1011.0,2928.0
7,0.0,0.0,0.0,0.0,0.0
8,18.0,37.0,44.0,52.0,41.0
9,6.0,8.0,11.0,8.0,11.0
10,1253.0,3008.0,3258.0,3034.0,2928.0
11,88.0,100.0,97.0,100.0,100.0
12,22.0,1.0,1.0,1.0,2.0
13,42.0,89.0,97.0,89.0,89.0
14,2.0,8.0,9.0,7.0,9.0
15,1.0,1.0,0.0,1.0,1.0
16,50.0,18.0,32.0,24.0,47.0
17,13.0,44.0,35.0,35.0,15.0
18,38.0,38.0,32.0,41.0,38.0
