,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,12,4,4,25,17,11,24,23
2,692,2289,2915,30188,54892,60936,70159,106720
3,1,19,28,28,25,27,34,28
4,0,3,6,3,2,1,7,9
5,0,0,6,2,3,9,6,5
6,0,383,324,596,910,2096,371,255
7,0,0,0,0,0,0,0,0
8,0,16,40,13,25,30,39,30
9,1,5,4,15,6,5,11,12
10,24,1150,1941,1787,1820,2096,2596,2291
11,0,68,86,79,84,96,88,96
12,7,24,7,14,8,1,4,1
13,9,50,74,74,66,71,89,74
14,0,5,7,2,6,7,10,5
15,0,1,1,1,0,1,0,1
16,100,42,29,68,48,56,53,46
17,0,26,14,14,36,19,21,25
18,0,32,57,18,16,26,26,29
