,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,19.0,23.0,17.0,35.0,15.0
2,1696.0,9338.0,19763.0,46154.0,164692.0
3,13.0,24.0,34.0,23.0,18.0
4,0.0,2.0,4.0,7.0,4.0
5,1.0,1.0,5.0,2.0,3.0
6,0.0,425.0,563.0,183.0,353.0
7,0.0,0.0,0.0,0.0,0.0
8,3.0,8.0,30.0,11.0,11.0
9,6.0,10.0,8.0,13.0,7.0
10,314.0,850.0,2252.0,1280.0,1412.0
11,15.0,33.0,76.0,65.0,94.0
12,19.0,28.0,11.0,22.0,1.0
13,52.0,63.0,89.0,61.0,90.0
14,0.0,5.0,5.0,1.0,1.0
15,0.0,0.0,0.0,0.0,0.0
16,54.0,50.0,38.0,70.0,72.0
17,23.0,33.0,24.0,13.0,11.0
18,23.0,17.0,38.0,17.0,17.0
