,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,20,15,19,21,26,10,23,11
2,12000,45000,45000,110000,110000,110000,110000,109850
3,20,36,32,35,19,15,25,23
4,2,1,1,2,0,1,1,0
5,1,5,4,3,5,0,2,2
6,783,3240,2501,1526,0,1158,2002,0
7,0,0,0,0,1,0,0,1
8,15,33,33,44,20,18,24,23
9,8,18,12,12,4,6,9,9
10,1565,3240,2501,3052,1533,1158,2002,1979
11,85,100,84,97,95,87,96,96
12,13,0,7,1,1,7,10,6
13,53,95,84,92,50,39,66,66
14,5,3,4,5,3,2,8,2
15,0,0,0,0,0,0,0,1
16,65,56,59,51,58,40,44,57
17,20,28,16,17,21,27,16,17
18,15,17,25,31,21,33,40,26
