,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,34.0,26.0,23.0,25.0,30.0,24.0,19.0,12.0
2,38604.0,157726.0,174557.0,210493.0,217855.0,219930.0,217394.0,217394.0,217394.0
3,34.0,32.0,36.0,32.0,35.0,34.0,31.0,37.0,35.0
4,12.0,5.0,7.0,8.0,1.0,3.0,1.0,4.0,4.0
5,11.0,7.0,2.0,5.0,5.0,5.0,3.0,2.0,6.0
6,226.0,406.0,367.0,293.0,2832.0,881.0,1580.0,559.0,546.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,44.0,13.0,18.0,24.0,22.0,25.0,14.0,21.0,20.0
9,9.0,19.0,16.0,11.0,19.0,15.0,14.0,16.0,15.0
10,2708.0,2032.0,2568.0,2341.0,2832.0,2643.0,1580.0,2234.0,2183.0
11,85.0,72.0,83.0,81.0,89.0,85.0,52.0,68.0,74.0
12,5.0,11.0,7.0,10.0,5.0,5.0,20.0,12.0,10.0
13,89.0,84.0,95.0,84.0,92.0,89.0,82.0,97.0,92.0
14,6.0,1.0,3.0,5.0,4.0,6.0,5.0,4.0,4.0
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,50.0,81.0,75.0,78.0,77.0,74.0,65.0,62.0,43.0
17,21.0,9.0,11.0,16.0,20.0,21.0,19.0,14.0,46.0
18,29.0,9.0,14.0,6.0,3.0,6.0,16.0,24.0,11.0
