,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,10.0,17.0,9.0,10.0,10.0,10.0,10.0,10.0
2,13867.0,24259.0,26565.0,40547.0,38834.0,40959.0,22233.0,30468.0,30468.0
3,35.0,35.0,34.0,27.0,21.0,30.0,13.0,25.0,22.0
4,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
5,0.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0
6,394.0,2947.0,2884.0,2151.0,1659.0,2423.0,0.0,1521.0,1679.0
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,21.0,38.0,40.0,31.0,23.0,32.0,6.0,22.0,13.0
9,10.0,13.0,12.0,7.0,7.0,7.0,3.0,5.0,7.0
10,1970.0,2947.0,2884.0,2151.0,1659.0,2423.0,544.0,1521.0,1679.0
11,54.0,91.0,97.0,89.0,95.0,93.0,46.0,68.0,86.0
12,16.0,5.0,2.0,3.0,2.0,7.0,11.0,14.0,15.0
13,92.0,92.0,89.0,71.0,55.0,79.0,20.0,250.0,58.0
14,2.0,6.0,6.0,3.0,5.0,6.0,1.0,2.0,5.0
15,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
16,49.0,40.0,47.0,48.0,29.0,37.0,38.0,20.0,36.0
17,29.0,29.0,18.0,19.0,38.0,37.0,15.0,48.0,41.0
18,23.0,31.0,35.0,33.0,33.0,27.0,46.0,32.0,23.0
