,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,7,6,17,20,12.833,12.833,15
2,1367,10046,28311,106688,106391,86793,59289
3,29,32,31,16,21,23,32
4,4,6,8,4,4,3,4
5,0,6,9,2,1,2,2
6,302,460,336,347,419,522,476
7,0,0,0,0,0,0,0
8,7,33,17,19,33,24,17
9,16,12,16,5,5,9,10
10,1207,2759,2684,1386,1676,1566,1905
11,34,100,97,100,95,87,75
12,23,0,1,0,1,5,10
13,85,94,91,100,75,61,84
14,3,6,4,1,3,3,4
15,0,0,1,0,1,0,0
16,76,63,74,31,33,57,47
17,17,22,19,38,24,17,25
18,7,16,6,31,43,26,28
