,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.0,2.0,4.0,4.0,24.0
2,3524.0,5073.0,5105.0,6423.0,6423.0
3,11.0,17.0,12.0,26.0,32.0
4,0.0,3.0,0.0,0.0,1.0
5,0.0,0.0,3.0,1.0,4.0
6,0.0,502.0,0.0,0.0,2832.0
7,0.0,0.0,0.0,0.0,0.0
8,13.0,17.0,11.0,23.0,32.0
9,1.0,5.0,4.0,12.0,12.0
10,791.0,1506.0,1080.0,2134.0,2832.0
11,73.0,94.0,100.0,92.0,100.0
12,14.0,12.0,13.0,4.0,0.0
13,32.0,50.0,48.0,76.0,94.0
14,1.0,7.0,4.0,4.0,5.0
15,1.0,0.0,0.0,1.0,0.0
16,45.0,76.0,75.0,50.0,66.0
17,18.0,12.0,25.0,23.0,16.0
18,36.0,12.0,0.0,27.0,19.0
