,2013-2014,2014-2015,2015-2016,2016-2017,2018-2019,2019-2020,2020-2021,2021-2022
1,5.0,6.0,18.0,6.0,7.0,7.667,12.0,7.667
2,4084.0,3327.0,6785.0,7642.0,19763.0,19763.0,15975.0,15975.0
3,12.0,18.0,27.0,20.0,14.0,4.0,1.0,13.0
4,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
5,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0
6,0.0,1240.0,0.0,1269.0,453.0,0.0,0.0,501.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,10.0,8.0,23.0,8.0,14.0,6.0,0.0,8.0
9,4.0,7.0,10.0,11.0,2.0,1.0,0.0,7.0
10,1010.0,1240.0,1989.0,1269.0,906.0,258.0,0.0,1001.0
11,83.0,72.0,78.0,65.0,71.0,75.0,0.0,85.0
12,2.0,9.0,13.0,20.0,20.0,2.0,15.0,3.0
13,35.0,53.0,79.0,59.0,41.0,67.0,3.0,93.0
14,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,42.0,83.0,74.0,70.0,50.0,25.0,100.0,69.0
17,33.0,6.0,22.0,30.0,21.0,0.0,0.0,23.0
18,25.0,11.0,4.0,0.0,29.0,75.0,0.0,8.0
