,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
1,16.0,11.833,22.0,13.3,11.0,2.5,11.0,24.0
2,6505.0,5731.0,14954.0,11677.0,15086.0,42705.0,45784.0,54842.0
3,3.0,5.0,4.0,12.0,36.0,35.0,26.0,34.0
4,1.0,0.0,0.0,3.0,9.0,4.0,1.0,1.0
5,1.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0
6,150.0,0.0,0.0,221.0,314.0,607.0,1615.0,2154.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,4.0,0.0,2.0,6.0,32.0,41.0,31.0,36.0
9,2.0,5.0,1.0,5.0,10.0,8.0,3.0,9.0
10,150.0,128.0,94.0,662.0,2825.0,2427.0,1615.0,2154.0
11,67.0,20.0,25.0,58.0,92.0,74.0,69.0,65.0
12,3.0,6.0,18.0,10.0,5.0,10.0,8.0,13.0
13,8.0,16.0,20.0,71.0,95.0,92.0,68.0,89.0
14,0.0,0.0,0.0,1.0,4.0,10.0,7.0,8.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,33.0,100.0,25.0,58.0,42.0,46.0,50.0,47.0
17,33.0,0.0,50.0,42.0,31.0,31.0,23.0,18.0
18,33.0,0.0,25.0,0.0,28.0,23.0,27.0,35.0
