,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,15.0,6.5,6.5,8.0,9.0
2,8185.0,35000.0,35475.0,38209.0,64395.0,64395.0
3,8.0,24.0,29.0,36.0,26.0,34.0
4,0.0,1.0,3.0,5.0,2.0,4.0
5,0.0,1.0,3.0,1.0,4.0,1.0
6,0.0,1347.0,685.0,628.0,1077.0,723.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,18.0,29.0,43.0,22.0,24.0
9,2.0,5.0,7.0,9.0,11.0,19.0
10,297.0,1347.0,2055.0,3139.0,2154.0,2891.0
11,25.0,58.0,83.0,97.0,96.0,97.0
12,13.0,17.0,6.0,1.0,2.0,1.0
13,24.0,63.0,76.0,55.0,260.0,89.0
14,1.0,4.0,9.0,9.0,5.0,8.0
15,0.0,0.0,1.0,0.0,0.0,0.0
16,38.0,21.0,38.0,44.0,42.0,50.0
17,38.0,29.0,24.0,22.0,31.0,29.0
18,25.0,50.0,38.0,33.0,27.0,21.0
