,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,16.0,18.0,14.0,18.0,14.222,26.0,10.0,23.0,18.889
2,53937.0,47448.0,45587.0,54974.0,56901.0,100000.0,100000.0,100000.0,100000.0
3,34.0,34.0,34.0,34.0,33.0,32.0,30.0,35.0,4.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,41.0,37.0,39.0,55.0,40.0,42.0,39.0,37.0,9.0
9,7.0,16.0,13.0,6.0,10.0,7.0,7.0,11.0,1.0
10,3060.0,3060.0,3014.0,3060.0,2970.0,2836.0,2649.0,3131.0,360.0
11,100.0,100.0,97.0,100.0,100.0,97.0,100.0,100.0,100.0
12,0.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,29.0
13,100.0,100.0,100.0,100.0,97.0,84.0,79.0,92.0,11.0
14,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16,56.0,50.0,53.0,32.0,45.0,53.0,30.0,49.0,25.0
17,12.0,29.0,18.0,24.0,30.0,22.0,43.0,17.0,0.0
18,32.0,21.0,29.0,44.0,24.0,25.0,27.0,34.0,75.0
