,2019-2020,2020-2021,2021-2022
1,7.0,23.0,33.0
2,55000.0,55000.0,55000.0
3,29.0,30.0,13.0
4,6.0,6.0,4.0
5,2.0,5.0,3.0
6,295.0,273.0,240.0
7,0.0,0.0,0.0
8,10.0,13.0,4.0
9,16.0,14.0,8.0
10,1770.0,1637.0,958.0
11,69.0,53.0,85.0
12,11.0,14.0,5.0
13,85.0,88.0,81.0
14,2.0,0.0,0.0
15,0.0,0.0,0.0
16,79.0,70.0,85.0
17,7.0,23.0,15.0
18,14.0,7.0,0.0
