,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
1,17.375,17.375,12,14,13,25,17
2,922,17639,14328,38983,49457,51186,85393
3,36,37,35,33,9,32,29
4,3,6,5,7,0,1,3
5,5,6,3,2,2,4,2
6,716,306,459,389,0,2385,727
7,0,0,0,0,0,0,0
8,41,14,21,32,12,19,28
9,8,21,16,7,1,15,8
10,2147,1833,2296,2723,747,2385,2180
11,69,62,69,94,89,81,83
12,11,14,11,3,1,11,8
13,97,97,92,87,24,84,76
14,3,4,8,4,3,1,5
15,0,0,0,0,0,0,1
16,44,68,46,55,67,63,48
17,22,19,37,33,11,22,38
18,33,14,17,12,22,16,14
