,2013-2014,2015-2016,2016-2017,2019-2020,2020-2021,2021-2022
1,2.75,1.5,1.5,2.75,2.75,2.75
2,9585.0,3310.0,4134.0,2635.0,6094.0,6094.0
3,5.0,25.0,14.0,9.0,20.0,9.0
4,1.0,1.0,0.0,0.0,1.0,0.0
5,0.0,4.0,0.0,0.0,1.0,0.0
6,211.0,2077.0,0.0,0.0,1554.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,3.0,42.0,9.0,18.0,25.0,6.0
9,2.0,3.0,6.0,1.0,3.0,4.0
10,211.0,2077.0,1179.0,602.0,1554.0,641.0
11,40.0,92.0,93.0,67.0,85.0,78.0
12,3.0,3.0,1.0,10.0,4.0,5.0
13,15.0,74.0,82.0,35.0,59.0,26.0
14,0.0,5.0,3.0,1.0,1.0,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,60.0,36.0,71.0,22.0,40.0,67.0
17,20.0,16.0,7.0,11.0,25.0,22.0
18,20.0,48.0,21.0,67.0,35.0,11.0
