,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,17.0,5.0,27.0,17.0,33.0
2,5089.0,16420.0,16469.0,16469.0,70000.0
3,16.0,28.0,8.0,14.0,11.0
4,0.0,1.0,0.0,1.0,0.0
5,0.0,1.0,0.0,0.0,0.0
6,0.0,2431.0,0.0,696.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,23.0,25.0,5.0,9.0,10.0
9,2.0,12.0,3.0,6.0,4.0
10,1228.0,2431.0,569.0,696.0,990.0
11,88.0,96.0,75.0,57.0,100.0
12,13.0,3.0,6.0,16.0,26.0
13,47.0,82.0,24.0,41.0,29.0
14,1.0,7.0,2.0,2.0,2.0
15,0.0,0.0,0.0,0.0,0.0
16,44.0,61.0,75.0,64.0,64.0
17,25.0,21.0,13.0,29.0,36.0
18,31.0,18.0,13.0,7.0,0.0
