,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,22.0,18.0,17.0,22.0,29.0,20.0,18.0,22.0,10.0
2,69599.0,61200.0,58812.0,157083.0,162568.0,164132.0,164692.0,164692.0,164692.0
3,23.0,24.0,30.0,27.0,26.0,22.0,31.0,33.0,23.0
4,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0
5,2.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0
6,979.0,1016.0,1247.0,2181.0,2242.0,1864.0,2581.0,703.0,1765.0
7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8,20.0,21.0,25.0,15.0,21.0,20.0,36.0,45.0,23.0
9,9.0,9.0,12.0,13.0,13.0,7.0,13.0,10.0,5.0
10,1957.0,2031.0,2493.0,2181.0,2242.0,1864.0,2581.0,2813.0,1765.0
11,100.0,96.0,97.0,89.0,96.0,95.0,100.0,97.0,87.0
12,0.0,3.0,2.0,5.0,6.0,9.0,0.0,1.0,4.0
13,68.0,71.0,88.0,79.0,76.0,65.0,91.0,97.0,68.0
14,4.0,2.0,1.0,4.0,3.0,1.0,7.0,5.0,4.0
15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,78.0,33.0,67.0,70.0,73.0,64.0,61.0,58.0,65.0
17,9.0,25.0,20.0,22.0,12.0,23.0,16.0,12.0,13.0
18,13.0,42.0,13.0,7.0,15.0,14.0,23.0,30.0,22.0
