,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2021-2022
1,7,9,12,10,21,26,16,5
2,11000,30000,30000,30000,60000,60000,60000,60000
3,44,1,19,21,34,40,36,22
4,0,0,0,1,1,1,0,1
5,1,0,0,0,0,1,1,0
6,0,0,0,1820,2925,3456,0,1887
7,0,0,0,0,0,1,0,0
8,38,0,18,15,32,56,41,21
9,21,0,4,11,11,10,7,8
10,3960,45,1383,1820,2925,3456,3174,1887
11,100,0,84,100,97,98,100,95
12,0,1,4,0,5,3,0,9
13,96,3,86,95,74,87,78,50
14,4,0,3,2,5,7,2,3
15,0,0,0,0,0,0,0,0
16,41,100,26,57,41,40,39,50
17,36,0,21,29,35,25,28,18
18,23,0,53,14,24,35,33,32
