,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,19.0,14.0,19.0,19.0,23.0,17.0,19.0,19.0
2,8515.0,42985.0,51845.0,53657.0,54167.0,57642.0,57642.0,57642.0
3,35.0,20.0,27.0,34.0,35.0,24.0,33.0,24.0
4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
5,6.0,0.0,2.0,3.0,1.0,1.0,8.0,4.0
6,2920.0,0.0,2090.0,0.0,3137.0,0.0,2847.0,937.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,27.0,19.0,37.0,32.0,30.0,33.0,47.0,32.0
9,12.0,4.0,5.0,11.0,12.0,5.0,5.0,7.0
10,2920.0,1443.0,2090.0,2916.0,3137.0,1988.0,2847.0,1873.0
11,91.0,75.0,89.0,97.0,100.0,96.0,97.0,92.0
12,3.0,6.0,4.0,3.0,0.0,2.0,2.0,2.0
13,92.0,53.0,71.0,89.0,92.0,63.0,87.0,63.0
14,10.0,6.0,4.0,10.0,10.0,5.0,5.0,6.0
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
16,60.0,35.0,37.0,62.0,40.0,33.0,30.0,29.0
17,26.0,30.0,15.0,18.0,43.0,29.0,30.0,46.0
18,14.0,35.0,48.0,21.0,17.0,38.0,39.0,25.0
