,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,15.0,1.5,7.0,23.0,25.0,30.0,24.0,20.0,15.0
2,11463.0,16502.0,26581.0,527015.0,527015.0,527015.0,527015.0,527015.0,329384.0
3,28.0,35.0,30.0,25.0,25.0,14.0,13.0,13.0,1.0
4,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0.0,3088.0,2656.0,2132.0,2189.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,26.0,27.0,26.0,22.0,17.0,16.0,12.0,4.0,2.0
9,11.0,16.0,12.0,10.0,12.0,5.0,5.0,8.0,0.0
10,2340.0,3088.0,2656.0,2132.0,2189.0,1189.0,949.0,645.0,90.0
11,96.0,100.0,100.0,96.0,96.0,93.0,77.0,46.0,100.0
12,1.0,0.0,0.0,9.0,4.0,9.0,15.0,21.0,22.0
13,74.0,92.0,79.0,66.0,66.0,37.0,34.0,34.0,3.0
14,3.0,5.0,6.0,4.0,7.0,4.0,5.0,1.0,1.0
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,46.0,63.0,57.0,96.0,72.0,57.0,77.0,92.0,0.0
17,32.0,26.0,23.0,0.0,28.0,29.0,8.0,0.0,100.0
18,21.0,11.0,20.0,4.0,0.0,14.0,15.0,8.0,0.0
