,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.833,6.833,5.0,8.0,13.0
2,1845.0,2026.0,7905.0,11858.0,80000.0
3,14.0,18.0,20.0,32.0,19.0
4,0.0,1.0,0.0,0.0,0.0
5,0.0,1.0,0.0,1.0,1.0
6,0.0,564.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,9.0,7.0,19.0,15.0,27.0
9,2.0,6.0,6.0,17.0,3.0
10,512.0,564.0,1212.0,1919.0,1102.0
11,21.0,28.0,75.0,66.0,63.0
12,28.0,28.0,11.0,16.0,14.0
13,37.0,47.0,71.0,84.0,50.0
14,1.0,3.0,1.0,2.0,0.0
15,0.0,0.0,2.0,0.0,0.0
16,21.0,56.0,40.0,63.0,37.0
17,36.0,33.0,20.0,28.0,26.0
18,43.0,11.0,40.0,9.0,37.0
