,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,8.0,22.0,22.0,29.0,20.0,5.0,8.0,17.0
2,33.0,1696.0,23650.0,25712.0,24704.0,49408.0,49408.0,59289.0
3,24.0,24.0,17.0,12.0,17.0,19.0,23.0,25.0
4,0.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0
5,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0
6,0.0,952.0,0.0,0.0,589.0,494.0,1271.0,825.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,12.0,4.0,10.0,10.0,15.0,9.0,20.0
9,8.0,13.0,10.0,2.0,6.0,9.0,14.0,8.0
10,1006.0,1903.0,620.0,703.0,589.0,1483.0,1271.0,1650.0
11,46.0,92.0,35.0,75.0,24.0,84.0,61.0,80.0
12,13.0,3.0,26.0,8.0,26.0,4.0,11.0,5.0
13,52.0,89.0,50.0,34.0,50.0,73.0,61.0,66.0
14,4.0,6.0,3.0,1.0,2.0,3.0,4.0,6.0
15,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16,46.0,92.0,76.0,8.0,59.0,63.0,61.0,32.0
17,25.0,4.0,12.0,17.0,18.0,5.0,30.0,44.0
18,29.0,4.0,12.0,75.0,24.0,32.0,9.0,24.0
