,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,15.0,22.0,15.0,15.0,15.0,10.0,13.0
2,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0
3,5.0,24.0,8.0,9.0,0.0,12.0,28.0
4,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,0.0,1673.0,0.0,0.0,0.0,722.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0,35.0,7.0,9.0,0.0,12.0,40.0
9,4.0,5.0,3.0,2.0,0.0,2.0,5.0
10,103.0,1673.0,487.0,641.0,0.0,722.0,2124.0
11,20.0,71.0,75.0,78.0,0.0,67.0,82.0
12,11.0,17.0,13.0,3.0,0.0,19.0,11.0
13,31.0,63.0,21.0,24.0,0.0,32.0,74.0
14,0.0,3.0,1.0,2.0,0.0,3.0,4.0
15,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,80.0,29.0,25.0,44.0,0.0,50.0,43.0
17,20.0,21.0,38.0,11.0,0.0,17.0,21.0
18,0.0,50.0,38.0,44.0,0.0,33.0,36.0
