,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,10.0,17.0,9.0,10.0,25.0,25.0,35.0,27.0
2,8663.0,23617.0,43413.0,133829.0,70000.0,120000.0,120000.0,120000.0,120000.0
3,35.0,33.0,26.0,33.0,9.0,35.0,15.0,16.0,33.0
4,2.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,4.0
5,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
6,1472.0,0.0,737.0,1432.0,0.0,1019.0,1098.0,0.0,707.0
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,34.0,35.0,34.0,38.0,5.0,21.0,5.0,10.0,23.0
9,11.0,12.0,9.0,9.0,4.0,18.0,11.0,8.0,18.0
10,2944.0,2959.0,2211.0,2864.0,806.0,3057.0,1098.0,1344.0,2828.0
11,94.0,100.0,96.0,100.0,100.0,97.0,93.0,88.0,100.0
12,2.0,1.0,2.0,0.0,5.0,2.0,3.0,14.0,2.0
13,92.0,87.0,68.0,87.0,64.0,92.0,39.0,42.0,87.0
14,5.0,11.0,8.0,10.0,1.0,2.0,1.0,1.0,5.0
15,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
16,49.0,39.0,46.0,52.0,100.0,83.0,80.0,75.0,79.0
17,29.0,27.0,12.0,12.0,0.0,6.0,7.0,13.0,15.0
18,23.0,33.0,42.0,36.0,0.0,11.0,13.0,13.0,6.0
