,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022
1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,10853.0,10425.0,39263.0,40646.0,49243.0,54348.0,54348.0
3,33.0,32.0,33.0,20.0,28.0,19.0,30.0
4,2.0,0.0,1.0,2.0,4.0,3.0,0.0
5,0.0,4.0,2.0,2.0,2.0,1.0,6.0
6,1485.0,0.0,2970.0,880.0,606.0,430.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,38.0,39.0,39.0,44.0,54.0,28.0,38.0
9,13.0,8.0,10.0,2.0,5.0,3.0,4.0
10,2970.0,2858.0,2970.0,1759.0,2424.0,1291.0,2553.0
11,100.0,100.0,100.0,100.0,100.0,79.0,100.0
12,0.0,0.0,0.0,0.0,3.0,5.0,0.0
13,97.0,94.0,97.0,59.0,82.0,56.0,88.0
14,2.0,3.0,6.0,4.0,9.0,2.0,3.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,27.0,31.0,36.0,20.0,32.0,21.0,47.0
17,36.0,34.0,39.0,20.0,18.0,21.0,27.0
18,36.0,34.0,24.0,60.0,50.0,58.0,27.0
