,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,10.0,10.0,8.0,12.0,9.833,9.833,6.0,15.0,9.83
2,20109.0,17688.0,39081.0,47118.0,48782.0,49243.0,51384.0,47761.0,47761.0
3,31.0,21.0,30.0,30.0,31.0,21.0,25.0,29.0,26.0
4,3.0,10.0,7.0,11.0,6.0,3.0,9.0,14.0,4.0
5,2.0,2.0,8.0,5.0,4.0,1.0,3.0,8.0,4.0
6,884.0,180.0,371.0,236.0,455.0,503.0,159.0,139.0,408.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,51.0,38.0,45.0,44.0,43.0,23.0,21.0,34.0,23.0
9,5.0,2.0,6.0,9.0,7.0,10.0,4.0,5.0,4.0
10,2653.0,1797.0,2597.0,2591.0,2729.0,1508.0,1434.0,1948.0,1632.0
11,100.0,95.0,97.0,97.0,100.0,90.0,56.0,79.0,77.0
12,0.0,1.0,2.0,1.0,0.0,3.0,13.0,7.0,7.0
13,91.0,62.0,88.0,88.0,91.0,62.0,74.0,85.0,76.0
14,6.0,8.0,5.0,8.0,5.0,3.0,4.0,5.0,10.0
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,35.0,19.0,50.0,37.0,39.0,52.0,56.0,38.0,38.0
17,16.0,38.0,10.0,30.0,26.0,19.0,12.0,34.0,27.0
18,48.0,43.0,40.0,33.0,35.0,29.0,32.0,28.0,35.0
